,uas,vas,ps,tas,pr,rsds,rlds,hurs,wss,cc
1979-01-02,0.6515949146843414,-3.449753232118732,1000.2180724137874,-17.444687936748807,-1.1294491741864476e-07,19.353034983972126,164.38160347230772,60.46241988374149,13.459678860788216,0.0
1979-01-03,0.27125440987550076,-3.4245586009024955,998.6759563948827,-10.064722969783759,0.18077707580444635,12.140521521337812,212.59046400469856,67.88739835504353,12.562642891349576,0.0
1979-01-04,-0.18942739097237715,-3.699759656301413,1000.5433718470244,-10.205571787095892,0.0043906522271880445,14.646069740741877,201.01342973329062,72.87331594827754,14.725637944930408,0.0
1979-01-05,-0.5271409433275931,-3.2805918924188684,1002.6930166849005,-15.42168363272964,-2.2588983483728953e-07,15.127462874804626,182.95901774185648,71.41542335022754,12.440461461358993,0.0
1979-01-06,-0.4867226801834689,-1.8856032363152284,1006.2651519480448,-15.87026586262084,-2.2588983483728953e-07,10.895829197410357,195.70711504104133,72.32152209970285,4.200001178723044,0.0
1979-01-07,1.0377711446826638,3.420119062786366,1000.3841953147908,-4.790023150841819,1.7502306858221026,3.9294209502731414,263.0916501034196,79.28811598774962,14.076353840589332,0.0
1979-01-08,5.026249070833939,5.202275615024105,984.5962353296314,3.2572501766434243,2.754840442341285,3.2104107776121276,319.5053347687415,75.84244613234878,54.26934058976133,0.0
1979-01-09,4.789762737681101,1.9970955316880343,983.3618878732043,0.9183607892485952,0.05209110828061494,11.073616049123187,247.2345549666393,67.19589592382935,28.007995390137143,0.0
1979-01-10,3.0949067823433456,1.6410437740162016,981.7462505739695,-2.627180492501168,0.2566342679413653,14.894723170112986,238.51862125593263,79.04414633447841,12.546072385855654,0.0
1979-01-11,0.04160893009308755,1.5772362168430736,976.05224813293,-3.5785288792046686,0.2976449644951301,10.309047806487795,251.42610173350488,80.76203610160556,3.222312214624209,0.0
1979-01-12,-4.763230084442181,0.0735919908348446,972.5377021123712,-1.72880172493808,4.74554577252388,3.300801363516834,291.8591838247737,76.78641577247946,24.924411651042476,0.0
1979-01-13,-3.7211082565570313,-3.797840078531934,980.0773522342921,-2.085480784047718,5.476278817119752,1.7992817096954652,293.54621888743475,73.63944197732658,29.892674372519814,0.0
